#RF00001  120 1428 5S_ribosomal_RNA Published;_PMID:11283358
RF01068  49 150 mini-ykkC_RNA_motif Published;_PMID:17621584;_Weinberg_Z
RF01069  57 44 purD_RNA_motif Published;_PMID:17621584;_Weinberg_Z
RF01070  84 74 SucA_RNA_motif Published;_PMID:17621584;_Weinberg_Z
RF01071  612 44 Ornate_Large_Extremophilic_RNA Published;_PMID:17164334;_Weinberg_Z
RF01072  21 56 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01073  63 18 Gag/pol_translational_readthrough_site Pseudobase
RF01074  41 12 Putative_RNA-dependent_RNA_polymerase_ribosomal_frameshift_site Pseudobase
RF01075  98 8 Pseudoknot_of_tRNA-like_structure Pseudobase
RF01076  73 8 Polymerase_ribosomal_frameshift_site Pseudobase
RF01077  45 10 Pseudoknot_of_tRNA-like_structure Pseudobase
RF01078  60 10 3'-terminal_pseudoknot_in_PYVV Pseudobase
RF01079  40 8 Putative_RNA-dependent_RNA_polymerase_ribosomal_frameshift_site Pseudobase
RF01080  23 10 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01081  19 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01082  21 6 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01083  22 12 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01084  131 20 Pseudoknot_of_tRNA-like_structure Pseudobase
RF01085  117 8 Pseudoknot_of_tRNA-like_structure Pseudobase
RF01087  150 16 Pseudoknot_of_the_regulatory_region_of_the_repZ_gene Pseudobase
RF01088  47 8 Pseudoknot_of_tRNA-like_structure Pseudobase
RF01089  126 18 Pseudoknot_of_the_regulatory_region_of_the_repBA_gene Pseudobase
RF01090  67 18 Edr_gene_ribosomal_frameshift_signal Pseudobase
RF01091  35 6 3'-terminal_pseudoknot_in_SPCSV Pseudobase
RF01092  62 8 Gag/pol_translational_readthrough_site Pseudobase
RF01093  61 28 Ma3_gene_ribosomal_frameshift_signal Pseudobase
RF01094  119 8 Polymerase_ribosomal_frameshift_site Pseudobase
RF01095  57 8 3'-terminal_pseudoknot_of_CuYV/BPYV Pseudobase
RF01096  56 8 HepA_virus_3'-terminal_pseudoknot Pseudobase
RF01097  53 12 Gag/pro_ribosomal_frameshift_site Pseudobase
RF01098  50 8 Gag/pro_ribosomal_frameshift_site Pseudobase
RF01099  49 68 Pseudoknot_of_influenza_A_virus_gene Pseudobase
RF01100  41 8 3'-terminal_pseudoknot_in_BYV Pseudobase
RF01101  41 10 Pseudoknot_of_tRNA-like_structure Pseudobase
RF01102  38 8 5'-leader_pseudoknot_of_TEV/CVMV Pseudobase
RF01103  23 6 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01104  30 10 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01105  28 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01106  21 6 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01107  28 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01108  27 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01109  22 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01111  22 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01112  17 6 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01113  24 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01114  23 8 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01115  23 10 Pseudoknot_of_upstream_pseudoknot_domain_(UPD)_of_the_3'UTR Pseudobase
RF01116  60 78 Cyanobacterial_functional_RNA_1 Published;_PMID:17941988
RF01117  82 8 Ciona_microRNA_mir-92 Predicted;_WAR;_Wilkinson_A
#RF01118  109 698 Pseudoknot_of_the_domain_G(G12)_of_23S_ribosomal_RNA Pseudobase
RF01119  59 10 Small_nucleolar_RNA_sR32 Predicted;_WAR;_Wilkinson_A
RF01120  57 8 Small_nucleolar_RNA_sR33 Predicted;_WAR;_Wilkinson_A
RF01121  60 10 Small_nucleolar_RNA_sR38 Predicted;_WAR;_Wilkinson_A
RF01122  61 14 Small_nucleolar_RNA_sR39 Predicted;_WAR;_Wilkinson_A
RF01123  58 8 Small_nucleolar_RNA_sR35 Predicted;_WAR;_Wilkinson_A
RF01124  56 14 Small_nucleolar_RNA_sR36 Predicted;_WAR;_Wilkinson_A
RF01125  56 26 Small_nucleolar_RNA_sR4 Predicted;_WAR;_Wilkinson_A
RF01126  54 10 Small_nucleolar_RNA_sR41 Predicted;_WAR;_Wilkinson_A
RF01127  66 10 Small_nucleolar_RNA_sR42 Predicted;_WAR;_Wilkinson_A
RF01128  58 10 Small_nucleolar_RNA_sR42 Predicted;_WAR;_Wilkinson_A
RF01129  56 10 Small_nucleolar_RNA_sR44 Predicted;_WAR;_Wilkinson_A
RF01130  62 18 Small_nucleolar_RNA_sR46 Predicted;_WAR;_Wilkinson_A
RF01131  56 18 Small_nucleolar_RNA_sR47 Predicted;_WAR;_Wilkinson_A
RF01132  60 8 Small_nucleolar_RNA_sR48 Predicted;_WAR;_Wilkinson_A
RF01133  57 38 Small_nucleolar_RNA_sR3 Predicted;_WAR;_Wilkinson_A
RF01134  58 10 Small_nucleolar_RNA_sR30 Predicted;_WAR;_Wilkinson_A
RF01135  5 8 Small_nucleolar_RNA_sR24 Predicted;_WAR;_Wilkinson_A
RF01136  56 16 Small_nucleolar_RNA_sR28 Predicted;_WAR;_Wilkinson_A
RF01137  68 8 Small_nucleolar_RNA_sR21 Predicted;_WAR;_Wilkinson_A
RF01138  55 16 Small_nucleolar_RNA_sR23 Predicted;_WAR;_Wilkinson_A
RF01139  57 24 Small_nucleolar_RNA_sR2 Predicted;_WAR;_Wilkinson_A
RF01140  57 16 Small_nucleolar_RNA_sR20 Predicted;_WAR;_Wilkinson_A
RF01141  58 14 Small_nucleolar_RNA_sR18 Predicted;_WAR;_Wilkinson_A
RF01142  65 10 Small_nucleolar_RNA_sR19 Predicted;_WAR;_Wilkinson_A
RF01143  1 6 Small_nucleolar_RNA_sR16 Predicted;_WAR;_Wilkinson_A
RF01144  58 14 Small_nucleolar_RNA_sR17 Predicted;_WAR;_Wilkinson_A
RF01145  56 20 Small_nucleolar_RNA_sR14 Predicted;_WAR;_Wilkinson_A
RF01146  66 8 Small_nucleolar_RNA_sR15 Predicted;_WAR;_Wilkinson_A
RF01147  56 14 Small_nucleolar_RNA_sR12 Predicted;_WAR;_Wilkinson_A
RF01148  56 16 Small_nucleolar_RNA_sR13 Predicted;_WAR;_Wilkinson_A
RF01149  55 12 Small_nucleolar_RNA_sR10 Predicted;_WAR;_Wilkinson_A
RF01150  57 20 Small_nucleolar_RNA_sR11 Predicted;_WAR;_Wilkinson_A
RF01151  56 32 Small_nucleolar_RNA_U82P Predicted;_WAR;_Wilkinson_A
RF01152  58 28 Small_nucleolar_RNA_sR1 Predicted;_WAR;_Wilkinson_A
RF01153  67 10 Small_nucleolar_RNA_sn3060 Predicted;_WAR;_Wilkinson_A
RF01155  69 14 Small_nucleolar_RNA_snoR101 Predicted;_WAR;_Wilkinson_A
RF01156  71 28 Small_nucleolar_RNA_SNORD123 Predicted;_WAR;_Wilkinson_A
RF01157  67 14 Small_nucleolar_RNA_sn1185 Predicted;_WAR;_Wilkinson_A
RF01158  72 12 Small_nucleolar_RNA_SNORD108 Predicted;_WAR;_Wilkinson_A
RF01159  72 36 Small_nucleolar_RNA_U18 Predicted;_WAR;_Wilkinson_A
RF01160  73 8 Small_nucleolar_RNA_sn2841 Predicted;_WAR;_Wilkinson_A
RF01161  73 44 Small_nucleolar_RNA_SNORD5 Predicted;_WAR;_Wilkinson_A
RF01162  66 16 Small_nucleolar_RNA_sn668 Predicted;_WAR;_Wilkinson_A
RF01163  74 12 Small_nucleolar_RNA_snoR64a Predicted;_WAR;_Wilkinson_A
RF01164  75 30 Small_nucleolar_RNA_SNORD107 Predicted;_WAR;_Wilkinson_A
RF01165  76 12 Small_nucleolar_RNA_sn2317 Predicted;_WAR;_Wilkinson_A
RF01166  77 8 Small_nucleolar_RNA_sn3071 Predicted;_WAR;_Wilkinson_A
RF01167  76 12 Small_nucleolar_RNA_sn2429 Predicted;_WAR;_Wilkinson_A
RF01168  78 16 Small_nucleolar_RNA_SNORD126 Predicted;_WAR;_Wilkinson_A
RF01169  78 30 Small_nucleolar_RNA_SNORD112 Predicted;_WAR;_Wilkinson_A
RF01170  85 20 Small_nucleolar_RNA_U61 Predicted;_WAR;_Wilkinson_A
RF01171  79 8 Small_nucleolar_RNA_snoR4 Predicted;_WAR;_Wilkinson_A
RF01172  79 10 Small_nucleolar_RNA_sn2343 Predicted;_WAR;_Wilkinson_A
RF01173  81 30 Small_nucleolar_RNA_U105B Predicted;_WAR
RF01174  80 20 Small_nucleolar_RNA_U43 Predicted;_WAR;_Wilkinson_A
RF01175  82 20 Small_nucleolar_RNA_U83 Predicted;_WAR;_Wilkinson_A
RF01176  83 20 Small_nucleolar_RNA_snR78 Predicted;_WAR;_Wilkinson_A
RF01177  85 36 Small_nucleolar_RNA_snR67 Predicted;_WAR;_Wilkinson_A
RF01178  86 46 Small_nucleolar_RNA_snoR77Y Predicted;_WAR;_Wilkinson_A
RF01179  85 18 Small_nucleolar_RNA_U83 Predicted;_WAR;_Wilkinson_A
RF01180  90 8 Small_nucleolar_RNA_snoR110 Predicted;_WAR;_Wilkinson_A
RF01181  84 34 Small_nucleolar_RNA_snR77 Predicted;_WAR;_Wilkinson_A
RF01182  85 42 Small_nucleolar_RNA_SNORD11 Predicted;_WAR;_Wilkinson_A
RF01183  85 38 Small_nucleolar_RNA_SNORD19B Predicted;_WAR;_Wilkinson_A
RF01184  104 40 Small_nucleolar_RNA_snR79 Predicted;_WAR;_Wilkinson_A
RF01185  89 126 Small_nucleolar_RNA_snR75 Predicted;_WAR;_Wilkinson_A
RF01186  87 30 Small_nucleolar_RNA_SNORD127 Predicted;_WAR;_Wilkinson_A
RF01188  101 36 Small_nucleolar_RNA_snR56 Predicted;_WAR;_Wilkinson_A
RF01189  87 12 Small_nucleolar_RNA_sn1502 Predicted;_WAR;_Wilkinson_A
RF01190  90 10 Small_nucleolar_RNA_snR50 Predicted;_WAR;_Wilkinson_A
RF01191  84 56 Small_nucleolar_RNA_SNORD121A Predicted;_WAR;_Wilkinson_A
RF01192  88 78 Small_nucleolar_RNA_SNORD11B Predicted;_WAR;_Wilkinson_A
RF01193  92 14 Small_nucleolar_RNA_snoR20a Predicted;_WAR;_Wilkinson_A
RF01194  92 12 Small_nucleolar_RNA_sn2903 Predicted;_WAR;_Wilkinson_A
RF01195  93 14 Small_nucleolar_RNA_snR52 Predicted;_WAR;_Wilkinson_A
RF01196  93 24 Small_nucleolar_RNA_Z30a Predicted;_WAR;_Wilkinson_A
RF01197  96 12 Small_nucleolar_RNA_snR39 Predicted;_WAR;_Wilkinson_A
RF01198  99 18 Small_nucleolar_RNA_snoR69Y Predicted;_WAR;_Wilkinson_A
RF01199  98 10 Small_nucleolar_RNA_snR58 Predicted;_WAR;_Wilkinson_A
RF01200  97 36 Small_nucleolar_RNA_SNORD125 Predicted;_WAR;_Wilkinson_A
RF01201  94 40 Small_nucleolar_RNA_snR40 Predicted;_WAR;_Wilkinson_A
RF01202  99 12 Small_nucleolar_RNA_sn2991 Predicted;_WAR;_Wilkinson_A
RF01203  100 38 Small_nucleolar_RNA_snR47 Predicted;_WAR;_Wilkinson_A
RF01204  101 14 Small_nucleolar_RNA_snR65 Predicted;_WAR;_Wilkinson_A
RF01205  101 8 Small_nucleolar_RNA_snR62 Predicted;_WAR;_Wilkinson_A
RF01206  113 16 Small_nucleolar_RNA_snoR109 Predicted;_WAR;_Wilkinson_A
RF01207  104 14 Small_nucleolar_RNA_snR73 Predicted;_WAR;_Wilkinson_A
RF01208  107 22 Small_nucleolar_RNA_snoR99 Predicted;_WAR;_Wilkinson_A
RF01209  97 34 Small_nucleolar_RNA_snR76 Predicted;_WAR;_Wilkinson_A
RF01210  105 72 Small_nucleolar_RNA_U13 Predicted;_WAR;_Wilkinson_A
RF01211  105 40 Small_nucleolar_RNA_SNORD124 Predicted;_WAR;_Wilkinson_A
RF01212  110 8 Small_nucleolar_RNA_sn2524 Predicted;_WAR;_Wilkinson_A
RF01213  106 26 Small_nucleolar_RNA_snoR103 Predicted;_WAR;_Wilkinson_A
RF01214  110 38 Small_nucleolar_RNA_snR51 Predicted;_WAR;_Wilkinson_A
RF01215  117 18 Small_nucleolar_RNA_snoR97 Predicted;_WAR;_Wilkinson_A
RF01216  110 12 Small_nucleolar_RNA_snR87 Predicted;_WAR;_Wilkinson_A
RF01218  112 40 Small_nucleolar_RNA_snR41 Predicted;_WAR;_Wilkinson_A
RF01219  123 22 Small_nucleolar_RNA_snoR100 Predicted;_WAR;_Wilkinson_A
RF01220  124 20 Small_nucleolar_RNA_snoR104 Predicted;_WAR;_Wilkinson_A
RF01221  135 14 Small_nucleolar_RNA_U6-47 Predicted;_WAR;_Wilkinson_A
RF01222  124 10 Small_nucleolar_RNA_sn2417 Predicted;_WAR;_Wilkinson_A
RF01223  125 8 Small_nucleolar_RNA_snR13 Predicted;_WAR;_Wilkinson_A
RF01224  129 22 Small_nucleolar_RNA_snoR80 Predicted;_WAR;_Wilkinson_A
RF01225  129 64 Small_nucleolar_RNA_ACA64 Predicted;_WAR;_Wilkinson_A
RF01226  114 20 Small_nucleolar_RNA_Z5 Predicted;_Wilkinson_A
RF01227  131 18 Small_nucleolar_RNA_snoR83 Predicted;_WAR;_Wilkinson_A
RF01228  133 16 Small_nucleolar_RNA_snoR111 Predicted;_WAR;_Wilkinson_A
RF01229  135 60 Small_nucleolar_RNA_SNORA84 Predicted;_WAR;_Wilkinson_A
RF01230  133 14 Small_nucleolar_RNA_snoR77 Predicted;_WAR;_Wilkinson_A
RF01231  135 22 Small_nucleolar_RNA_snoR74 Predicted;_WAR;_Wilkinson_A
RF01232  47 24 Small_nucleolar_RNA_R442 Predicted;_WAR;
RF01233  135 56 Small_nucleolar_RNA_U109 Predicted;_WAR;_Wilkinson_A
RF01234  139 44 Small_nucleolar_RNA_SNORA47 Predicted;_WAR;_Wilkinson_A
RF01235  139 14 Small_nucleolar_RNA_snR68 Predicted;_RNAalifold;
RF01236  149 10 Small_nucleolar_RNA_U19 Predicted;_WAR;_Wilkinson_A
RF01237  163 24 Small_nucleolar_RNA_snR161 Predicted;_WAR;_Wilkinson_A
RF01238  166 22 Small_nucleolar_RNA_snR70 Predicted;_CMfinder;
RF01239  171 16 Small_nucleolar_RNA_snR49 Predicted;_WAR;_Wilkinson_A
RF01240  181 14 Small_nucleolar_RNA_snR85 Predicted;_WAR;_Wilkinson_A
RF01241  180 60 Small_nucleolar_RNA_SNORA81 Predicted;_WAR;_Wilkinson_A
RF01242  181 24 Small_nucleolar_RNA_snR36 Predicted;_WAR;_Wilkinson_A
RF01243  184 14 Small_nucleolar_RNA_snR33 Predicted;_WAR;_Wilkinson_A
RF01244  194 14 Small_nucleolar_RNA_snR4 Predicted;_CMfinder;
RF01245  188 14 Small_nucleolar_RNA_snR9 Predicted;_WAR;_Wilkinson_A
RF01246  189 10 Small_nucleolar_RNA_snR81 Predicted;_WAR;_Wilkinson_A
RF01247  190 26 Small_nucleolar_RNA_snR32 Predicted;_WAR;_Wilkinson_A
RF01248  192 26 Small_nucleolar_RNA_snR8 Predicted;_WAR;_Wilkinson_A
RF01249  199 24 Small_nucleolar_RNA_snR190 Predicted;_CMfinder;
RF01250  193 12 Small_nucleolar_RNA_snR189 Predicted;_WAR;_Wilkinson_A
RF01251  196 12 Small_nucleolar_RNA_snR3 Published;_PMID:9106664;_Wilkinson_A
RF01252  197 26 Small_nucleolar_RNA_snR5 Published;_PMID:15075370;_Wilkinson_A
RF01253  198 16 Small_nucleolar_RNA_snR46 Predicted;_WAR;_Wilkinson_A
RF01254  204 12 Small_nucleolar_RNA_snR34 Predicted;_WAR;_Wilkinson_A
RF01255  205 26 Small_nucleolar_RNA_snR35 Predicted;_WAR;_Wilkinson_A
RF01256  208 44 Small_nucleolar_RNA_snR43 Published;_PMID:18332121;_Wilkinson_A
RF01257  224 20 Small_nucleolar_RNA_snR31 Predicted;_WAR;_Wilkinson_A
RF01258  246 34 Small_nucleolar_RNA_snR10 Predicted;_WAR;_Wilkinson_A
RF01259  256 16 Small_nucleolar_RNA_snR63 Predicted;_CMfinder;
RF01260  261 16 Small_nucleolar_RNA_snR11 Predicted;_WAR;_Wilkinson_A
RF01261  271 14 Small_nucleolar_RNA_snR82 Predicted;_WAR;_Wilkinson_A
RF01262  212 18 Small_nucleolar_RNA_snR44 Predicted;_WAR;_Wilkinson_A
RF01263  274 26 Small_nucleolar_RNA_snR191 Predicted;_WAR;_Wilkinson_A
RF01264  325 14 Small_nucleolar_RNA_snR83 Predicted;_WAR;_Wilkinson_A
RF01265  352 14 Small_nucleolar_RNA_snR42 Published;_PMID:9106664;_Wilkinson_A
RF01266  183 20 Small_nucleolar_RNA_snR45 Predicted;_WAR;_Wilkinson_A
RF01267  387 22 Small_nucleolar_RNA__snR37 Predicted;_WAR;_Wilkinson_A
RF01268  421 44 Small_Cajal_body-specific_RNA_2 Published;_PMID:15556860;_Wilkinson_A
RF01269  178 16 Small_nucleolar_RNA_snR80 Predicted;_WAR;_Wilkinson_A
RF01270  569 16 Small_nucleolar_RNA_snR84 Predicted;_WAR;_Wilkinson_A
RF01271  369 12 Small_nucleolar_RNA_snR30 Published;_PMID:14749391;_Wilkinson_A
RF01272  1038 14 Small_nucleolar_RNA_snR86 Predicted;_WAR;_Wilkinson_A
RF01273  56 12 Small_nucleolar_RNA_sR34 Predicted;_WAR;
RF01274  56 18 Small_nucleolar_RNA_sR45 Predicted;_WAR;
RF01275  59 16 Small_nucleolar_RNA_sR22 Predicted;_CMfinder;
RF01276  61 10 Small_nucleolar_RNA_sR53 Predicted;_WAR;
RF01277  68 60 Small_nucleolar_RNA_U54 Predicted;_WAR;_Wilkinson_A
RF01278  68 18 Small_nucleolar_RNA_SNORD109A Predicted;_WAR;_Wilkinson_A
RF01279  76 18 Small_nucleolar_RNA_snoR53Y Predicted;_WAR;_Wilkinson_A
RF01280  9 16 Small_nucleolar_RNA_snoR14 Predicted;_Wilkinson_A
RF01281  82 28 Small_nucleolar_RNA_snoR35 Predicted;_CMfinder;
RF01283  87 14 Small_nucleolar_RNA_U30 Predicted;_Wilkinson_A
RF01284  95 18 Small_nucleolar_RNA_snoR8a Predicted;_WAR;_Wilkinson_A
RF01285  89 18 Small_nucleolar_RNA_U31b Predicted;_Wilkinson_A
RF01286  95 20 Small_nucleolar_RNA_snoR26 Predicted;_WAR;_Wilkinson_A
RF01287  96 16 Small_nucleolar_RNA_snoR27 Predicted;_WAR;_Wilkinson_A
RF01288  101 16 Small_nucleolar_RNA_snoR31 Predicted;_WAR;_Wilkinson_A
RF01289  111 8 Small_nucleolar_RNA_snoR17 Predicted;_CMfinder;
RF01290  144 48 Small_nucleolar_RNA_SNORD10 Predicted;_WAR;_Wilkinson_A
RF01291  143 44 Small_nucleolar_RNA_SNORD97 Predicted;_WAR;_Wilkinson_A
RF01292  150 26 Small_nucleolar_RNA_snoR2/U65 Predicted;_WAR;_Wilkinson_A
RF01293  168 10 Small_nucleolar_RNA_ACA59 Predicted;_WAR;_Wilkinson_A
RF01294  271 36 Small_nucleolar_RNA_U89 Predicted;_Wilkinson_A
RF01295  331 40 Small_Cajal_body-specific_RNA_7 Predicted;_Wilkinson_A
RF01296  351 46 Small_nucleolar_RNA_U85 Predicted;_Locarna;_Wilkinson_A
RF01297  62 8 Small_nucleolar_RNA_sR40 Predicted;_WAR;
RF01298  70 10 Small_nucleolar_RNA_U25 Predicted;_WAR;_Wilkinson_A
RF01299  71 38 Small_nucleolar_RNA_SNORD2 Predicted;_WAR;_Wilkinson_A
RF01300  74 14 Small_nucleolar_RNA_U49 Predicted;_CMfinder;
RF01301  78 8 Small_nucleolar_RNA_snoR4a Predicted;_WAR;_Wilkinson_A
RF01302  91 36 SnoRNA_U36a Predicted;_WAR;_Wilkinson_A
RF01303  58 10 Small_nucleolar_RNA_sR49 Predicted;_RNAalifold;
RF01304  62 26 Small_nucleolar_RNA_sR5 Predicted;_RNAalifold;
RF01305  57 12 Small_nucleolar_RNA_sR51 Predicted;_CMfinder;
RF01306  61 8 Small_nucleolar_RNA_sR52 Predicted;_WAR;
RF01307  67 12 Small_nucleolar_RNA_sR55 Predicted;_WAR;
RF01308  56 14 Small_nucleolar_RNA_sR58 Predicted;_WAR;_Wilkinson_A
RF01309  56 12 Small_nucleolar_RNA_sR60 Predicted;_WAR;_Wilkinson_A
RF01310  61 14 Small_nucleolar_RNA_sR7 Predicted;_CMfinder;
RF01311  54 20 Small_nucleolar_RNA_sR8 Predicted;_CMfinder;
RF01312  72 10 Small_nucleolar_RNA_sR9 Predicted;_CMfinder;
RF01313  58 24 Avian_HBV_RNA_encapsidation_signal_epsilon Published;_PMID:17430968
RF01314  89 10 microRNA_mir-1227 Published;_PMID:17964270;_Wilkinson_A
RF01315  31 60 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01316  31 44 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01317  29 78 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01318  38 28 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01319  31 18 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01320  38 24 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01321  38 14 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01322  38 18 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01323  38 14 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01324  37 14 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01325  31 14 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01326  31 12 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01327  30 16 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01328  26 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01329  38 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01330  38 16 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01331  38 16 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01332  38 12 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01333  38 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01334  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01335  37 22 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01336  37 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01337  31 12 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01338  26 14 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01339  26 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01340  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01341  39 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01342  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01343  38 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01344  37 14 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01345  37 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01346  37 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01347  36 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01348  36 14 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01349  31 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01350  30 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01351  30 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01352  30 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01353  29 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01354  25 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01355  26 12 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01356  25 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01357  38 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01358  32 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01359  39 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01360  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01361  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01362  48 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01363  47 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01364  39 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01365  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01366  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01367  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01368  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01369  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01370  38 10 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01371  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01372  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01373  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01374  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01375  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01376  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01377  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01378  38 8 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
RF01379  38 12 CRISPR_RNA_direct_repeat_element Predicted;_WAR;_Wilkinson_A
